t,x,y,z, 
408600,147893749918.73514,18381976436.57418,0,
409500,147888893851.9764,18422175808.747665,0,
410400,147884027193.69592,18462373861.55989,0,
411300,147879149944.27316,18502570592.13581,0,
412200,147874262104.08844,18542765997.600502,0,
413100,147869363673.5229,18582960075.07916,0,
414000,147864454652.95847,18623152821.697098,0,
414900,147859535042.77795,18663344234.579758,0,
415800,147854604843.365,18703534310.852695,0,
416700,147849664055.104,18743723047.64159,0,
417600,147844712678.38025,18783910442.072247,0,
418500,147839750713.57983,18824096491.270588,0,
419400,147834778161.08966,18864281192.36266,0,
420300,147829795021.2975,18904464542.474632,0,
421200,147824801294.5919,18944646538.732796,0,
422100,147819796981.36224,18984827178.263565,0,
423000,147814782081.99878,19025006458.193478,0,
423900,147809756596.89255,19065184375.649197,0,
424800,147804720526.43542,19105360927.757507,0,
425700,147799673871.0201,19145536111.64532,0,
426600,147794616631.04013,19185709924.43967,0,
427500,147789548806.88983,19225882363.267715,0,
428400,147784470398.9644,19266053425.25674,0,
429300,147779381407.6598,19306223107.534157,0,
430200,147774281833.37286,19346391407.227497,0,
431100,147769171676.50128,19386558321.464424,0,
432000,147764050937.4435,19426723847.372723,0,
432900,147758919616.59885,19466887982.080307,0,
433800,147753777714.36743,19507050722.715218,0,
434700,147748625231.1502,19547212066.40562,0,
435600,147743462167.34894,19587372010.279808,0,
436500,147738288523.36624,19627530551.4662,0,
437400,147733104299.60553,19667687687.09335,0,
438300,147727909496.47107,19707843414.289925,0,
439200,147722704114.36795,19747997730.184734,0,
440100,147717488153.70206,19788150631.906708,0,
441000,147712261614.88013,19828302116.584908,0,
441900,147707024498.3097,19868452181.348522,0,
442800,147701776804.39914,19908600823.326874,0,
443700,147696518533.55768,19948748039.64941,0,
444600,147691249686.19534,19988893827.44571,0,
445500,147685970262.72296,20029038183.845478,0,
446400,147680680263.55222,20069181105.978554,0,
447300,147675379689.0956,20109322590.974907,0,
448200,147670068539.76648,20149462635.964634,0,
449100,147664746815.97894,20189601238.07797,0,
450000,147659414518.14798,20229738394.44527,0,
450900,147654071646.6894,20269874102.197033,0,
451800,147648718202.0198,20310008358.46388,0,
452700,147643354184.55667,20350141160.376564,0,
453600,147637979594.71826,20390272505.06598,0,
454500,147632594432.92365,20430402389.663147,0,
455400,147627198699.59274,20470530811.29922,0,
456300,147621792395.1463,20510657767.105488,0,
457200,147616375520.0059,20550783254.213367,0,
458100,147610948074.5939,20590907269.754414,0,
459000,147605510059.33356,20631029810.860317,0,
459900,147600061474.6489,20671150874.6629,0,
460800,147594602320.96475,20711270458.294117,0,
461700,147589132598.70682,20751388558.88606,0,
462600,147583652308.3016,20791505173.570953,0,
463500,147578161450.17645,20831620299.48116,0,
464400,147572660024.75952,20871733933.749172,0,
465300,147567148032.47977,20911846073.507626,0,
466200,147561625473.767,20951956715.889286,0,
467100,147556092349.05185,20992065858.027058,0,
468000,147550548658.76578,21032173497.05398,0,
468900,147544994403.34103,21072279630.103237,0,
469800,147539429583.21072,21112384254.308136,0,
470700,147533854198.80878,21152487366.80213,0,
471600,147528268250.56992,21192588964.71881,0,
472500,147522671738.92972,21232689045.191902,0,
473400,147517064664.32455,21272787605.35527,0,
474300,147511447027.19165,21312884642.34292,0,
475200,147505818827.96902,21352980153.288986,0,
476100,147500180067.09555,21393074135.327755,0,
477000,147494530745.0109,21433166585.593643,0,
477900,147488870862.15558,21473257501.22121,0,
478800,147483200418.97092,21513346879.345154,0,
479700,147477519415.89905,21553434717.10031,0,
480600,147471827853.38297,21593521011.62166,0,
481500,147466125731.86646,21633605760.044315,0,
482400,147460413051.79413,21673688959.50354,0,
483300,147454689813.61142,21713770607.13473,0,
484200,147448956017.7646,21753850700.073433,0,
485100,147443211664.7007,21793929235.455326,0,
486000,147437456754.8677,21834006210.416233,0,
486900,147431691288.7143,21874081622.09212,0,
487800,147425915266.69003,21914155467.6191,0,
488700,147420128689.2453,21954227744.133415,0,
489600,147414331556.83127,21994298448.77146,0,
490500,147408523869.89996,22034367578.669773,0,
491400,147402705628.90424,22074435130.96503,0,
492300,147396876834.29773,22114501102.794056,0,
493200,147391037486.53494,22154565491.293816,0,
494100,147385187586.07117,22194628293.60142,0,
495000,147379327133.36252,22234689506.854126,0,
495900,147373456128.86597,22274749128.189327,0,
496800,147367574573.03928,22314807154.744568,0,
497700,147361682466.34103,22354863583.65754,0,
498600,147355779809.23065,22394918412.066074,0,
499500,147349866602.16837,22434971637.10815,0,
500400,147343942845.61523,22475023255.921894,0,
501300,147338008540.03314,22515073265.645576,0,
502200,147332063685.88477,22555121663.417614,0,
503100,147326108283.63364,22595168446.37657,0,
504000,147320142333.74408,22635213611.66116,0,
504900,147314165836.68127,22675257156.410236,0,
505800,147308178792.9112,22715299077.762806,0,
506700,147302181202.90063,22755339372.858025,0,
507600,147296173067.11725,22795378038.83519,0,
508500,147290154386.02948,22835415072.83375,0,
509400,147284125160.1066,22875450471.99331,0,
510300,147278085389.81866,22915484233.453606,0,
511200,147272035075.6366,22955516354.354538,0,
512100,147265974218.03214,22995546831.83615,0,
513000,147259902817.4778,23035575663.038635,0,
513900,147253820874.44702,23075602845.102333,0,
514800,147247728389.41394,23115628375.16774,0,
515700,147241625362.85358,23155652250.3755,0,
516600,147235511795.2418,23195674467.866405,0,
517500,147229387687.0552,23235695024.781403,0,
518400,147223253038.7713,23275713918.261585,0,
519300,147217107850.86838,23315731145.4482,0,
520200,147210952123.82556,23355746703.482643,0,
521100,147204785858.12277,23395760589.506466,0,
522000,147198609054.24078,23435772800.66137,0,
522900,147192421712.66116,23475783334.089207,0,
523800,147186223833.8663,23515792186.931984,0,
524700,147180015418.33942,23555799356.331863,0,
525600,147173796466.56454,23595804839.431156,0,
526500,147167566979.02655,23635808633.37233,0,
527400,147161326956.2111,23675810735.298,0,
528300,147155076398.60468,23715811142.35094,0,
529200,147148815306.6946,23755809851.67408,0,
530100,147142543680.96902,23795806860.4105,0,
531000,147136261521.91687,23835802165.703434,0,
531900,147129968830.02792,23875795764.696274,0,
532800,147123665605.7928,23915787654.532566,0,
533700,147117351849.70288,23955777832.356014,0,
534600,147111027562.25043,23995766295.310474,0,
535500,147104692743.92847,24035753040.53996,0,
536400,147098347395.2309,24075738065.188637,0,
537300,147091991516.6524,24115721366.400833,0,
538200,147085625108.68848,24155702941.32103,0,
539100,147079248171.83545,24195682787.093864,0,
540000,147072860706.59048,24235660900.864136,0,
540900,147066462713.45154,24275637279.7768,0,
541800,147060054192.9174,24315611920.976963,0,
542700,147053635145.48764,24355584821.609898,0,
543600,147047205571.66272,24395555978.82103,0,
544500,147040765471.94388,24435525389.755947,0,
545400,147034314846.83316,24475493051.560394,0,
546300,147027853696.83347,24515458961.380276,0,
547200,147021382022.4485,24555423116.361652,0,
548100,147014899824.18274,24595385513.650745,0,
549000,147008407102.54156,24635346150.39394,0,
549900,147001903858.0311,24675305023.737778,0,
550800,146995390091.15833,24715262130.82896,0,
551700,146988865802.43103,24755217468.81435,0,
552600,146982330992.35782,24795171034.840973,0,
553500,146975785661.44812,24835122826.05601,0,
554400,146969229810.21216,24875072839.60681,0,
555300,146962663439.161,24915021072.640884,0,
556200,146956086548.80655,24954967522.305897,0,
557100,146949499139.66147,24994912185.749683,0,
558000,146942901212.2393,25034855060.120235,0,
558900,146936292767.05435,25074796142.565712,0,
559800,146929673804.6218,25114735430.234432,0,
560700,146923044325.4576,25154672920.27488,0,
561600,146916404330.07858,25194608609.835697,0,
562500,146909753819.00232,25234542496.065697,0,
563400,146903092792.74722,25274474576.11385,0,
564300,146896421251.83255,25314404847.129295,0,
565200,146889739196.77835,25354333306.261337,0,
566100,146883046628.1055,25394259950.65944,0,
567000,146876343546.3357,25434184777.473232,0,
567900,146869629951.99142,25474107783.852516,0,
568800,146862905845.59604,25514028966.94725,0,
569700,146856171227.67368,25553948323.907566,0,
